fill;def;csc
0;187466.6667;1000.0000
5;184450.0000;64000.0000
10;182823.5294;130000.0000
15;183472.2222;189000.0000
20;184000.0000;253444.4444
25;180000.0000;312962.9630
30;185250.0000;369000.0000
35;180000.0000;432444.4444
40;183083.3333;493666.6667
45;181000.0000;540500.0000
50;181500.0000;593263.1579
55;182000.0000;604000.0000
60;182529.4118;623500.0000
65;181000.0000;631666.6667
70;180000.0000;636400.0000
75;182500.0000;629142.8571
80;181307.6923;630333.3333
85;180500.0000;589583.3333
90;180000.0000;554000.0000
95;179500.0000;535500.0000
100;180500.0000;493000.0000
