fill;def;csc
0;32927.7108;330.0000
5;32055.5556;12770.0000
10;32400.0000;23472.2222
15;32459.7701;34000.0000
20;32137.9310;46243.2432
25;32000.0000;56000.0000
30;32000.0000;66500.0000
35;31000.0000;78550.0000
40;31000.0000;87500.0000
45;31500.0000;97869.5652
50;32000.0000;103000.0000
55;32333.3333;110500.0000
60;32000.0000;111500.0000
65;31500.0000;114444.4444
70;31500.0000;116000.0000
75;31750.0000;111333.3333
80;31916.6667;110069.7674
85;32000.0000;104000.0000
90;31500.0000;98000.0000
95;32275.3623;91500.0000
100;31000.0000;86500.0000
