fill;def;csc
0;341703.7037;1240.0000
5;333000.0000;122500.0000
10;341173.9130;254000.0000
15;355500.0000;371636.3636
20;333500.0000;493000.0000
25;341142.8571;601750.0000
30;334000.0000;718428.5714
35;334500.0000;846000.0000
40;335500.0000;941111.1111
45;335000.0000;1068000.0000
50;335500.0000;1138333.3333
55;334000.0000;1212500.0000
60;338000.0000;1247500.0000
65;335000.0000;1225600.0000
70;356000.0000;1235111.1111
75;335000.0000;1232500.0000
80;339666.6667;1209000.0000
85;339000.0000;1187333.3333
90;342600.0000;1073600.0000
95;336000.0000;1016375.0000
100;333500.0000;942000.0000
