fill;def;csc
0;69000.0000;640.0000
5;67000.0000;25781.2500
10;68473.6842;49000.0000
15;68640.0000;73500.0000
20;68000.0000;96000.0000
25;69000.0000;118000.0000
30;68000.0000;147500.0000
35;67500.0000;165976.1905
40;68000.0000;185500.0000
45;73500.0000;204500.0000
50;86950.0000;218750.0000
55;67000.0000;229000.0000
60;69750.0000;242250.0000
65;67000.0000;255000.0000
70;68590.9091;255000.0000
75;67500.0000;234500.0000
80;67666.6667;240333.3333
85;67500.0000;219500.0000
90;67000.0000;209117.6471
95;69000.0000;194500.0000
100;67818.1818;180200.0000
