fill;def;csc
0;116312.5000;1000.0000
5;116324.3243;43333.3333
10;115303.0303;84055.5556
15;114000.0000;122000.0000
20;115068.1818;162500.0000
25;114000.0000;202500.0000
30;114500.0000;242500.0000
35;114111.1111;283600.0000
40;113000.0000;315500.0000
45;115846.1538;346000.0000
50;117250.0000;388470.5882
55;115741.9355;394500.0000
60;113000.0000;407000.0000
65;114646.3415;420692.3077
70;115666.6667;425000.0000
75;115023.8095;400500.0000
80;115812.5000;407500.0000
85;113000.0000;377000.0000
90;116400.0000;360000.0000
95;114666.6667;350823.5294
100;117500.0000;317500.0000
