fill;def;csc
0;20610.0000;1000.0000
5;17380.9524;5870.0000
10;13941.1765;9000.0000
15;13000.0000;12900.0000
20;12600.0000;14885.7143
25;10894.7368;17769.2308
30;10685.7143;20750.0000
35;10323.5294;24000.0000
40;10333.3333;26111.1111
45;10100.0000;29000.0000
50;10000.0000;30750.0000
55;10000.0000;32942.8571
60;10000.0000;33000.0000
65;10000.0000;33333.3333
70;10000.0000;33333.3333
75;10000.0000;33500.0000
80;10000.0000;32000.0000
85;10466.6667;31490.5660
90;10187.5000;29918.9189
95;10100.0000;27434.7826
100;10259.2593;25250.0000
