fill;def;csc
0;552761.9048;1000.0000
5;547500.0000;202642.8571
10;547500.0000;403500.0000
15;542000.0000;596500.0000
20;553666.6667;786818.1818
25;547000.0000;996333.3333
30;563857.1429;1221857.1429
35;546000.0000;1368714.2857
40;575000.0000;1590500.0000
45;559210.5263;1746600.0000
50;541500.0000;1842000.0000
55;547000.0000;1956000.0000
60;550125.0000;2009000.0000
65;545500.0000;2034666.6667
70;549000.0000;2039500.0000
75;552000.0000;2018000.0000
80;549035.7143;1937800.0000
85;550416.6667;1843666.6667
90;549615.3846;1743000.0000
95;549764.7059;1663400.0000
100;542500.0000;1576214.2857
