fill;def;csc
0;678071.4286;2000.0000
5;683230.7692;250166.6667
10;664000.0000;503000.0000
15;669000.0000;747250.0000
20;668750.0000;991000.0000
25;669000.0000;1219000.0000
30;663500.0000;1465000.0000
35;663000.0000;1700500.0000
40;667500.0000;1956000.0000
45;665500.0000;2091000.0000
50;669500.0000;2239000.0000
55;673000.0000;2391333.3333
60;670461.5385;2438000.0000
65;667500.0000;2527000.0000
70;669500.0000;2550312.5000
75;678820.5128;2439000.0000
80;663500.0000;2410000.0000
85;681333.3333;2343000.0000
90;703500.0000;2254777.7778
95;680542.8571;2049000.0000
100;664000.0000;1975142.8571
